Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
BANKING,11/26/2025,1367.82,1380.21,1362.19,1375.97,0.66%,"376,766,843.20",-
BANKING,11/25/2025,1366.23,1370.64,1355.11,1366.9,0.20%,"308,138,614.20",-
BANKING,11/24/2025,1343.34,1364.47,1343.06,1364.11,1.41%,"355,731,155.00",-
BANKING,11/23/2025,1328.43,1345.97,1327.25,1345.15,1.37%,"336,015,235.00",-
BANKING,11/20/2025,1331.4,1334.4,1323.37,1327.01,-0.33%,"257,454,569.90",-
BANKING,11/19/2025,1334.44,1340.16,1326.13,1331.4,-0.15%,"211,862,146.80",-
BANKING,11/18/2025,1329.65,1341.88,1328.46,1333.36,0.31%,"265,544,891.70",-
BANKING,11/17/2025,1329.66,1334.66,1325.13,1329.21,0.14%,"329,832,910.20",-
BANKING,11/16/2025,1331.52,1334.24,1321.79,1327.4,-0.31%,"217,177,710.00",-
BANKING,11/13/2025,1327.62,1338.11,1322.71,1331.51,0.13%,"275,491,970.20",-
BANKING,11/12/2025,1340.73,1341.01,1327.89,1329.81,-0.67%,"281,098,421.60",-
BANKING,11/11/2025,1337.88,1345.88,1330.65,1338.82,0.07%,"323,201,487.00",-
BANKING,11/10/2025,1348.22,1354.21,1335.05,1337.88,-0.61%,"369,853,946.00",-
BANKING,11/9/2025,1363.04,1363.04,1344.4,1346.04,-1.30%,"384,687,350.10",-
BANKING,11/6/2025,1371.46,1377.49,1360.28,1363.76,-0.43%,"397,937,243.10",-
BANKING,11/5/2025,1362,1375.24,1356.1,1369.69,0.56%,"331,005,429.50",-
BANKING,11/4/2025,1370.44,1374.03,1359.33,1362,-0.67%,"339,869,818.00",-
BANKING,11/3/2025,1373.62,1383.33,1367.49,1371.13,-0.22%,"283,083,746.00",-
BANKING,11/2/2025,1384.78,1385.42,1363.53,1374.2,0.29%,"419,650,252.70",-
BANKING,10/30/2025,1367.9,1372.32,1355.97,1370.18,0.34%,"380,613,760.10",-
BANKING,10/29/2025,1370.31,1381.19,1361.36,1365.58,-0.35%,"430,975,866.00",-
BANKING,10/28/2025,1343.39,1370.91,1343.38,1370.34,1.92%,"305,735,821.40",-
BANKING,10/26/2025,1348.48,1351.31,1330.77,1344.52,-0.36%,"187,790,720.10",-
BANKING,10/19/2025,1337.98,1354.95,1334.36,1349.36,0.87%,"318,304,553.60",-
BANKING,10/16/2025,1337.37,1350.74,1331.27,1337.71,0.03%,"306,992,979.50",-
BANKING,10/15/2025,1345.72,1353.17,1335.87,1337.36,-0.55%,"263,751,009.60",-
BANKING,10/14/2025,1355.92,1365.17,1342.46,1344.71,-0.83%,"266,105,580.90",-
BANKING,10/13/2025,1372.1,1372.1,1336.83,1355.92,0.29%,"413,063,693.30",-
BANKING,10/12/2025,1384.99,1385.46,1346.34,1352.06,-2.31%,"653,268,066.80",-
BANKING,10/9/2025,1390.77,1437.95,1380.24,1383.97,1.07%,"565,867,348.70",-
BANKING,10/8/2025,1392.12,1392.12,1356.66,1369.29,-1.48%,"513,237,582.40",-
BANKING,10/7/2025,1408.5,1411.16,1382.94,1389.88,-1.32%,"484,845,464.60",-
BANKING,9/28/2025,1400.09,1408.49,1397.75,1408.49,0.84%,"224,862,097.00",-
BANKING,9/25/2025,1396,1399.67,1389.36,1396.75,0.12%,"246,205,357.10",-
BANKING,9/24/2025,1405.88,1415.27,1391.05,1395.01,-0.74%,"359,107,916.50",-
BANKING,9/23/2025,1391.21,1406.46,1389.21,1405.37,1.39%,"420,596,307.40",-
BANKING,9/21/2025,1308.53,1391.24,1308.52,1386.13,4.53%,"1,008,474,922.90",-
BANKING,9/18/2025,1379.84,1379.84,1319.82,1326.12,-5.53%,"86,358,080.10",-
BANKING,9/8/2025,1418.19,1420.5,1398.6,1403.7,-1.12%,"499,098,567.60",-
BANKING,9/7/2025,1423.04,1427.03,1417.29,1419.66,-0.65%,"664,114,712.50",-
BANKING,9/4/2025,1434.26,1440.5,1420.52,1429.01,-0.32%,"511,413,814.90",-
BANKING,9/3/2025,1441.87,1446.83,1432.94,1433.54,-0.55%,"457,950,331.80",-
BANKING,9/2/2025,1474.11,1474.11,1440.23,1441.49,-0.50%,"647,229,063.10",-
BANKING,9/1/2025,1453.63,1455.05,1423.76,1448.72,1.50%,"1,113,825,777.30",-
BANKING,8/31/2025,1441.92,1447.14,1423.97,1427.31,-0.89%,"609,009,672.10",-
BANKING,8/28/2025,1452.54,1457.85,1438.55,1440.07,-0.87%,"551,386,023.47",-
BANKING,8/27/2025,1454.25,1454.59,1432.66,1452.73,1.39%,"533,838,545.10",-
BANKING,8/26/2025,1433.15,1440.73,1428.1,1432.87,0.14%,"371,265,608.00",-
BANKING,8/25/2025,1421.94,1434.34,1413.75,1430.85,0.59%,"431,081,618.90",-
BANKING,8/24/2025,1435.23,1439.39,1420.86,1422.48,-0.89%,"497,521,018.20",-
BANKING,8/21/2025,1435.83,1442.27,1431.33,1435.22,-0.12%,"585,366,653.20",-
BANKING,8/20/2025,1439.49,1446.04,1434.86,1436.91,-0.19%,"432,406,228.70",-
BANKING,8/19/2025,1435.74,1447.79,1435.47,1439.65,0.40%,"434,554,276.80",-
BANKING,8/18/2025,1430.24,1439.47,1427.04,1433.87,0.18%,"574,933,074.70",-
BANKING,8/17/2025,1447.65,1452.86,1431.01,1431.34,-1.04%,"768,726,215.10",-
BANKING,8/14/2025,1454.28,1459.57,1445.22,1446.35,-0.56%,"899,995,844.60",-
BANKING,8/13/2025,1467.19,1470.39,1453.71,1454.45,-0.70%,"655,093,948.90",-
BANKING,8/12/2025,1484.97,1484.97,1464.02,1464.64,-0.94%,"630,011,358.38",-
BANKING,8/11/2025,1490.13,1511.1,1478.01,1478.6,-0.42%,"1,048,432,900.10",-
BANKING,8/7/2025,1484.08,1492.9,1478.86,1484.79,0.43%,"716,012,931.60",-
BANKING,8/6/2025,1495.3,1495.3,1476.42,1478.43,-0.48%,"519,935,352.92",-
BANKING,8/5/2025,1505.32,1524.31,1483.51,1485.53,-1.05%,"921,283,268.80",-
BANKING,8/4/2025,1476.1,1513.92,1468.26,1501.26,1.67%,"1,097,933,468.80",-
BANKING,8/3/2025,1514.43,1514.43,1475.41,1476.66,-2.28%,"1,089,527,349.70",-
BANKING,7/31/2025,1537,1538.01,1508.61,1511.05,-1.45%,"1,258,780,047.10",-
BANKING,7/30/2025,1566.61,1576.33,1530.15,1533.25,-1.56%,"1,350,543,478.10",-
BANKING,7/29/2025,1547.32,1572.06,1542.75,1557.47,1.33%,"2,567,760,263.00",-
BANKING,7/28/2025,1539.74,1542.4,1508.09,1537.06,0.02%,"1,687,569,599.20",-
BANKING,7/27/2025,1548.5,1561.43,1533.72,1536.82,-0.72%,"1,937,696,052.70",-
BANKING,7/24/2025,1560.44,1563.05,1539.8,1547.96,-0.61%,"1,320,697,920.50",-
BANKING,7/23/2025,1554.12,1568.65,1543.49,1557.52,-0.25%,"1,763,287,302.30",-
BANKING,7/22/2025,1530.6,1563.36,1530.6,1561.48,2.11%,"2,317,334,237.70",-
BANKING,7/21/2025,1523.08,1540.35,1508.29,1529.22,0.48%,"1,495,251,702.60",-
BANKING,7/20/2025,1545.71,1561.43,1517.67,1521.91,-1.39%,"2,576,748,469.40",-
BANKING,7/17/2025,1523.33,1548.71,1522.41,1543.33,1.76%,"2,346,840,284.10",-
BANKING,7/16/2025,1494.54,1527.86,1493.67,1516.6,1.59%,"2,750,403,725.00",-
BANKING,7/15/2025,1467.24,1495.76,1456.9,1492.84,1.81%,"1,757,937,892.30",-
BANKING,7/14/2025,1505.85,1505.94,1463.5,1466.28,-2.46%,"1,778,781,507.20",-
BANKING,7/13/2025,1479.37,1515.87,1479.37,1503.31,3.38%,"2,832,706,643.20",-
BANKING,7/10/2025,1414.83,1462.14,1414.82,1454.21,3.03%,"2,117,977,024.30",-
BANKING,7/9/2025,1387.26,1414.69,1387.25,1411.48,1.69%,"752,943,123.30",-
BANKING,7/8/2025,1394.43,1398.42,1381.26,1388.04,-0.37%,"458,208,057.20",-
BANKING,7/7/2025,1414.11,1414.11,1391.68,1393.24,-0.79%,"764,068,999.50",-
BANKING,7/6/2025,1408.18,1412.5,1394.17,1404.35,0.12%,"684,934,971.60",-
BANKING,7/3/2025,1409,1413.23,1386.15,1402.71,0.31%,"735,575,564.50",-
